name,sector,founded,headquarters,founders,country,amount_raised_inr,state
Fitcircle,Health Tech,2014.0,Mumbai,"Aarti Gill, Mihir Gadani",India,,Maharashtra
Fitday,Ecommerce,2020.0,Hyderabad,"Pathapati Nagaraju, Suresh Raju",India,,Telangana
Fitelo,Health Tech,2016.0,Mohali,"Mac Singh,Sahil Bansal",India,"Rs 124,500,000.0",Punjab
Fitho,Health Tech,2011.0,New Delhi,"Dhruv Gupta, Prachi Gupta",India,,Delhi
Fitmint,Health Tech,2022.0,Bengaluru,"Anurag Meena,Rohit Sharma,Viren Baid",India,"Rs 132,800,000.0",Karnataka
Fitnapp,Health Tech,2015.0,Noida,"Akshay Jhinga, Sagar Verma",India,,Uttar Pradesh
Fitness First,Health Tech,2008.0,Gurugram,Vikram Aditya Bhatia,India,,Haryana
Fitpass,Health Tech,2015.0,New Delhi,"Akshay Verma, Arushi Verma",India,"Rs 166,000,000.0",Delhi
Fitraq,Consumer Services,2014.0,New Delhi,Siddharth Rampal,India,,Delhi
Fitso,Health Tech,2015.0,Gurugram,"Naman Sharma, Rahool Sureka, Saurabh Aggarwal",India,"Rs 157,700,000.0",Haryana
Fitsol,Clean Tech,2022.0,Gurugram,Anand Pathak,India,"Rs 83,000,000.0",Haryana
Fitspire,Ecommerce,2020.0,New Delhi,"Nidhi Jain, Vipen Jain",India,,Delhi
Fitterfly,Health Tech,2016.0,Navi Mumbai,"Arbinder Singal, Shailesh Gupta",India,"Rs 1,419,300,000.0",Maharashtra
Fitternity,Health Tech,2013.0,Mumbai,"Jayam Vora, Neha Motwani",India,"Rs 664,000,000.0",Maharashtra
Fittr,Health Tech,2016.0,Pune,"Bala Krishna Reddy Dabbedi, Jitendra Chouksey, Jyoti Sehrawat Dabas, Rohit Chattopadhyay, Sonal Singh",India,"Rs 1,408,510,000.0",Maharashtra
Five Line Health Care,Enterprise Tech,2022.0,Mumbai,,India,,Maharashtra
Fix My Curls,Ecommerce,2019.0,Gurugram,Anshita Mehrotra,India,,Haryana
Fixcraft,Consumer Services,2018.0,Gurugram,"Abhishek Goyal, Inderjeet Rao, Vivek Sharma",India,"Rs 83,000,000.0",Haryana
Fixerra,Fintech,2023.0,Mumbai,Akshar Shah,India,"Rs 139,440,000.0",Maharashtra
Fixigo,Consumer Services,2018.0,New Delhi,"Sami Saik,Tarun Malhotra , Ajay Pahwa",India,,Delhi
Fixpocket,Enterprise Tech,2016.0,Mumbai,"Kaivan Shah, Soham Thacker",India,,Maharashtra
Fixy,Consumer Services,2014.0,Mumbai,"Nabeel Merchant, Tufayl Merchant",India,,Maharashtra
Flabs,Enterprise Tech,2023.0,New Delhi,"Ayush Chauhan, Dhwaj Gupta, Harsh Kumar Jha, Yash Chaudhary",India,,Delhi
Flam,Media & Entertainment,2021.0,Bengaluru,"Malhar Patil, Rajat Gupta, Shourya Agarwal",India,"Rs 1,043,310,000.0",Karnataka
FlamencoTech,Enterprise Tech,2011.0,Bengaluru,"Bala Chitoor, Sudhir Sarma",India,,Karnataka
FlamingosTech,Enterprise Services,2010.0,Kolkata,Subhra Bagchi,India,,West Bengal
Flash Door,Consumer Services,2015.0,Bengaluru,"Ankit Agarwal, Himanshu Gupta",India,,Karnataka
FlashPrep,Edtech,2020.0,Bengaluru,"Ashwini Dhekane, Dhiresh Nagwani",India,,Karnataka
Flat.to,Real Estate Tech,2013.0,Mumbai,"Aakrit Vaish, Gaurav Munjal",India,,Maharashtra
FlatFurnish,Ecommerce,2015.0,Gurugram,"Jeetesh Agrawal, Jyoti Goyal",India,,Haryana
Flatchat,Media & Entertainment,2013.0,Bengaluru,Hemesh Singh,India,"Rs 207,500,000.0",Karnataka
Flatheads,Ecommerce,2018.0,Bengaluru,"Carlos Virella, Ganesh Balakrishnan, Utkarsh Biradar",India,"Rs 83,000,000.0",Karnataka
Flatpebble,Consumer Services,2012.0,Hyderabad,"Pranav Mehta, Venkatesan Seshadri",India,,Telangana
FlavingredProducts,Ecommerce,2021.0,Mumbai,Rituja Upadhyay,India,,Maharashtra
FlavorLabs,Ecommerce,2014.0,Gurugram,"Ankur Agarwal, Nandita Shetty, Rohan Rajgharia, Vasanth Kamath",India,,Haryana
FleAffair.com,Ecommerce,2016.0,New Delhi,"Amit Khullar, Mohit Khullar, Shivani Khullar",India,,Delhi
